;Value;Score
AROnto;0.0;1
INROnto;0.375;2
ANOnto;1.375;5
TMOnto2;1.0;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.0;5
NOCOnto;5.583333333333333;4
CBOOnto;1.0;5
RFCOnto;1.8309859154929577;5
NOMOnto;0.8309859154929577;5
RROnto;0.5317460317460317;3
PROnto;0.46825396825396826;3
AROnto;0.676056338028169;4
INROnto;0.9436619718309859;5
ANOnto;1.5070422535211268;5
TMOnto2;1.0;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.9649122807017544;1
NOCOnto;2.1052631578947367;5
CBOOnto;0.9605263157894737;1
RFCOnto;1.1710526315789473;5
NOMOnto;0.21052631578947367;5
RROnto;0.7142857142857143;4
PROnto;0.2857142857142857;2
AROnto;0.10526315789473684;1
INROnto;0.5263157894736842;3
ANOnto;1.0263157894736843;5
TMOnto2;0.9605263157894737;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.9375;1
NOCOnto;1.25;5
CBOOnto;0.9166666666666666;1
RFCOnto;2.875;5
NOMOnto;1.9583333333333333;5
RROnto;0.17543859649122806;1
PROnto;0.8245614035087719;5
AROnto;0.08333333333333333;1
INROnto;0.4166666666666667;3
ANOnto;1.4166666666666667;5
TMOnto2;0.9166666666666666;5
LCOMOnto;2.0;5
WMCOnto2;0.1111111111111111;5
DITOnto;1.0;5
NACOnto;0.7777777777777778;1
NOCOnto;1.6;5
CBOOnto;0.6923076923076923;1
RFCOnto;2.4285714285714284;5
NOMOnto;1.7857142857142858;5
RROnto;0.24242424242424243;2
PROnto;0.7575757575757576;4
AROnto;0.03571428571428571;1
INROnto;0.5714285714285714;3
ANOnto;1.6428571428571428;5
TMOnto2;0.6428571428571429;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.125;5
NOCOnto;0.189873417721519;1
CBOOnto;0.25263157894736843;1
RFCOnto;1.631578947368421;5
NOMOnto;1.3789473684210527;5
RROnto;0.10273972602739725;1
PROnto;0.8972602739726028;5
AROnto;0.0;1
INROnto;0.15789473684210525;1
